
Iterations = 5005:105000
Thinning interval = 5 
Number of chains = 1 
Sample size per chain = 20000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

            Mean      SD  Naive SE Time-series SE
r[84]    0.37452  0.42815  0.45797  0.4899  0.556506
r[85]    0.37779  0.43098  0.46167  0.4939  0.560989
r[86]    0.41854  0.47909  0.51295  0.5495  0.624627
r[87]    0.39393  0.44982  0.48184  0.5155  0.583876
r[88]    0.38395  0.43813  0.46895  0.5024  0.569644
r[89]    0.42097  0.47968  0.51434  0.5502  0.624328
r[90]    0.40041  0.45805  0.49100  0.5264  0.597012
r[91]    0.41948  0.48001  0.51479  0.5514  0.625626
r[92]    0.40349  0.46226  0.49586  0.5305  0.601382
r[93]    0.37842  0.43285  0.46298  0.4957  0.560245
r[94]    0.37953  0.43281  0.46289  0.4952  0.562495
r[95]    0.41572  0.47741  0.51123  0.5471  0.621582
r[96]    0.40000  0.45702  0.49027  0.5242  0.594809
r[97]    0.41521  0.47455  0.50882  0.5454  0.617051
r[98]    0.40834  0.46758  0.50148  0.5366  0.610276
r[99]    0.40154  0.45979  0.49278  0.5266  0.599318
r[100]   0.38257  0.43891  0.47024  0.5035  0.571274
r[101]   0.45589  0.52247  0.55975  0.5995  0.683017
r[102]   0.42314  0.48386  0.51791  0.5539  0.629492
r[103]   0.40227  0.46076  0.49375  0.5287  0.602576
r[104]   0.40099  0.45702  0.48929  0.5231  0.595004
r[105]   0.38391  0.43939  0.47007  0.5024  0.568873
r[106]   0.34383  0.39182  0.41871  0.4475  0.505648
r[107]   0.36886  0.42053  0.45004  0.4814  0.546106
r[108]   0.37231  0.42457  0.45442  0.4855  0.549971
r[109]   0.36136  0.41241  0.44167  0.4715  0.536089
r[110]   0.35686  0.40748  0.43548  0.4650  0.526298
r[111]   0.37527  0.42647  0.45635  0.4885  0.553310
r[112]   0.40258  0.46044  0.49232  0.5260  0.595153
r[113]   0.41335  0.47305  0.50654  0.5411  0.614681
r[114]   0.43230  0.49426  0.52928  0.5661  0.640242
r[115]   0.41903  0.47845  0.51281  0.5484  0.621277
r[116]   0.37676  0.42890  0.45868  0.4905  0.555416
r[117]   0.39215  0.44614  0.47729  0.5093  0.576797
r[118]   0.45075  0.51555  0.55162  0.5898  0.667526
r[119]   0.40881  0.46587  0.49909  0.5332  0.602995
r[120]   0.43309  0.49565  0.53072  0.5681  0.642486
r[121]   0.42339  0.48415  0.51732  0.5532  0.627236
r[122]   0.41853  0.47654  0.50969  0.5451  0.618920
r[123]   0.42276  0.48259  0.51720  0.5528  0.627152
r[124]   0.41031  0.47031  0.50365  0.5388  0.611270
r[125]   0.39443  0.44918  0.48053  0.5132  0.580327
r[126]   0.40460  0.46128  0.49340  0.5276  0.599272
r[127]   0.38535  0.43916  0.47006  0.5021  0.569475
r[128]   0.41048  0.46910  0.50198  0.5362  0.605963
r[129]   0.37228  0.42435  0.45371  0.4847  0.549500
r[130]   0.38274  0.43576  0.46664  0.4985  0.564624
r[131]   0.43201  0.49532  0.53006  0.5676  0.640822
r[132]   0.40446  0.46297  0.49517  0.5292  0.601515
r[133]   0.38142  0.43487  0.46550  0.4969  0.561433
r[134]   0.36990  0.42213  0.45120  0.4828  0.545713
r[135]   0.40476  0.46185  0.49405  0.5288  0.598413
r[136]   0.36492  0.41461  0.44331  0.4732  0.536036
r[137]   0.37124  0.42257  0.45198  0.4830  0.546556
r[138]   0.42128  0.48033  0.51390  0.5491  0.622968
r[139]   0.39487  0.45040  0.48165  0.5150  0.581381
r[140]   0.38955  0.44468  0.47602  0.5085  0.574066
r[141]   0.39924  0.45568  0.48799  0.5209  0.590305
r[142]   0.41389  0.47002  0.50342  0.5385  0.609534
r[143]   0.43268  0.49479  0.52942  0.5659  0.639480
r[144]   0.46049  0.52659  0.56326  0.6025  0.683522
r[145]   0.43333  0.49229  0.52729  0.5632  0.639119
r[146]   0.44065  0.50338  0.53990  0.5778  0.653166
r[147]   0.38652  0.44084  0.47164  0.5038  0.571085
r[148]   0.37518  0.42691  0.45635  0.4875  0.551245
r[149]   0.41247  0.47162  0.50531  0.5399  0.612852
r[150]   0.40119  0.45717  0.48939  0.5227  0.591744
r[151]   0.37882  0.43196  0.46149  0.4932  0.557897
r[152]   0.41485  0.47240  0.50619  0.5414  0.613283
r[153]   0.38898  0.44482  0.47590  0.5091  0.576376
r[154]   0.41805  0.47782  0.51162  0.5469  0.618118
r[155]   0.38548  0.43852  0.46911  0.5005  0.566687
r[156]   0.43680  0.50002  0.53525  0.5733  0.650623
